file_name,QuestionText,answer
AmbianceBackyard_Quiet_bip.wav,Are there more than one bird squawking?,YES
AmbianceBackyard_Quiet_bip.wav,Are there more than one bird squawking?,YES
AmbianceBackyard_Quiet_bip.wav,Are there more than one bird squawking?,YES
AmbianceBackyard_Quiet_bip.wav,Are there people having a conversation?,NO
AmbianceBackyard_Quiet_bip.wav,Are there people having a conversation?,NO
AmbianceBackyard_Quiet_bip.wav,Are there people having a conversation?,NO
AmbianceBackyard_Quiet_bip.wav,Are these animals outside?,NO
AmbianceBackyard_Quiet_bip.wav,Are these animals outside?,YES
AmbianceBackyard_Quiet_bip.wav,Are these animals outside?,YES
AmbianceBackyard_Quiet_bip.wav,Is there only one bird sqauwking?,NO
AmbianceBackyard_Quiet_bip.wav,Is there only one bird sqauwking?,NO
AmbianceBackyard_Quiet_bip.wav,Is there only one bird sqauwking?,NO
20110121_cranes.wind.wav,Is it a dog making the noise?,NO
20110121_cranes.wind.wav,Is it a dog making the noise?,NO
20110121_cranes.wind.wav,Is it a dog making the noise?,NO
20110121_cranes.wind.wav,Is one bird close and one bird far away?,YES
20110121_cranes.wind.wav,Is one bird close and one bird far away?,YES
20110121_cranes.wind.wav,Is one bird close and one bird far away?,YES
20110121_cranes.wind.wav,Is there a person screaming?,NO
20110121_cranes.wind.wav,Is there a person screaming?,NO
20110121_cranes.wind.wav,Is there a person screaming?,NO
20110121_cranes.wind.wav,Is this outside?,YES
20110121_cranes.wind.wav,Is this outside?,YES
20110121_cranes.wind.wav,Is this outside?,YES
EXT Steel works far.wav,Are they listening to the radio?,NO
EXT Steel works far.wav,Are they listening to the radio?,NO
EXT Steel works far.wav,Are they listening to the radio?,NO
EXT Steel works far.wav,is an object being dropped?,YES
EXT Steel works far.wav,is an object being dropped?,YES
EXT Steel works far.wav,is an object being dropped?,YES
EXT Steel works far.wav,Is someone working?,YES
EXT Steel works far.wav,Is someone working?,YES
EXT Steel works far.wav,Is someone working?,YES
EXT Steel works far.wav,is there a forklift present?,YES
EXT Steel works far.wav,is there a forklift present?,NO
EXT Steel works far.wav,is there a forklift present?,YES
Walking in Circles around fountain.wav,can any animals be heard in the distance?,YES
Walking in Circles around fountain.wav,can any animals be heard in the distance?,YES
Walking in Circles around fountain.wav,can any animals be heard in the distance?,YES
Walking in Circles around fountain.wav,does someone inhale sharply?,YES
Walking in Circles around fountain.wav,does someone inhale sharply?,NO
Walking in Circles around fountain.wav,does someone inhale sharply?,NO
Walking in Circles around fountain.wav,Is there a strong wind?,YES
Walking in Circles around fountain.wav,Is there a strong wind?,NO
Walking in Circles around fountain.wav,Is there a strong wind?,YES
Walking in Circles around fountain.wav,Was the recording made outside?,YES
Walking in Circles around fountain.wav,Was the recording made outside?,YES
