,file_name,keywords,sound_link,start_end_samples,manufacturer,license
0,microphonecontact_stereo.wav,metallic;phasing;stereo;touch;contact;microphone,https://freesound.org/people/sarana/sounds/109861,"[839168, 2051643]",sarana,http://creativecommons.org/licenses/by/3.0/
1,corneille_city01.wav,birds;city;field-recording,https://freesound.org/people/1demidegt2/sounds/80685,,1demidegt2,http://creativecommons.org/publicdomain/zero/1.0/
2,Wind-up Crank.wav,mechanical;motor;machinery;robotic;machine;robot;whir;whirr;spin;crank;rotate;whizz;torch;generator;old;wind-up;flashlight,https://freesound.org/people/RICHERlandTV/sounds/265614,"[3679232, 4868963]",RICHERlandTV,http://creativecommons.org/publicdomain/zero/1.0/
3,RG Large Old Dog Snoring.wav,animal;animal-sleeping;dog;mammal;old-dog;snoring,https://freesound.org/people/cmusounddesign/sounds/95849,"[2295296, 3517094]",cmusounddesign,http://creativecommons.org/licenses/by/3.0/
4,Les_Feuilles_Mortes141020.wav,nature;field-recording;ambiance;leaves;autumn,https://freesound.org/people/giuseppegavazza/sounds/251987,"[2506240, 3622534]",giuseppegavazza,http://creativecommons.org/publicdomain/zero/1.0/
5,Mechanics_Old_Clock_Wind_And Work.wav,Clock;Mechanic;Wind;Old,https://freesound.org/people/Philippsfoleys/sounds/268172,"[957952, 1829775]",Philippsfoleys,http://creativecommons.org/licenses/by/3.0/
6,harbour scene 1.wav,park;children;family;field-recording;happiness;825;holiday;off;harbour,https://freesound.org/people/Heigh-hoo/sounds/61076,"[24064, 1295945]",Heigh-hoo,http://creativecommons.org/publicdomain/zero/1.0/
7,20110805_forest.crows.07.wav,bird;raven;crow;nature;spain;field-recording;cawing,https://freesound.org/people/dobroide/sounds/126283,"[3097600, 3918023]",dobroide,http://creativecommons.org/licenses/by/3.0/
8,Old moped.wav,moped;idle;old;rusty;engine,https://freesound.org/people/Tuben/sounds/161399,,Tuben,http://creativecommons.org/licenses/by-nc/3.0/
9,indoors house dorm dormitory ambient room tone distant motor.wav,ambient;distant;dorm;dormitory;house;indoors;motor;room;tone,https://freesound.org/people/bulbastre/sounds/126937,"[1367552, 2411457]",bulbastre,http://creativecommons.org/licenses/by/3.0/
10,air show flyby 2007-08-18.wav,air;by;engine;fly;flyby;jet;plane;show;whoosh,https://freesound.org/people/xyzr_kx/sounds/40625,,xyzr_kx,http://creativecommons.org/publicdomain/zero/1.0/
11,Vartiosaari_woodland.wav,birds;purist;field;recording;Finland;island,https://freesound.org/people/jakeharries/sounds/240380,"[6279168, 7380973]",jakeharries,http://creativecommons.org/licenses/by/3.0/
12,banging_metal_cabinet.wav,office;metal;noise;industry,https://freesound.org/people/MikaF/sounds/163362,,MikaF,http://creativecommons.org/publicdomain/zero/1.0/
13,Diesel Engines Approaching Cajon Pass.wav,Locomotive;Railway;Crossing;Train;Whistle;Horn;Diesel;Field-Recording;Stereo,https://freesound.org/people/GaryEdstrom/sounds/264116,"[1073664, 1750085]",GaryEdstrom,http://creativecommons.org/licenses/by/3.0/
14,Cityscape construction site 2 100304.wav,city;cityscape;field-recording;rotterdam,https://freesound.org/people/LG/sounds/91289,"[1317376, 2253961]",LG,http://creativecommons.org/licenses/by/3.0/
15,TrashCompactor.wav,field-recording;industrial;machine;noise,https://freesound.org/people/paradigmsomehow/sounds/126333,"[662528, 1737372]",paradigmsomehow,http://creativecommons.org/publicdomain/zero/1.0/
16,Rishikesh Aarati.wav,temple;street;field;recording;India;Aarati;atmosphere,https://freesound.org/people/CouleurCasquette/sounds/237540,"[0, 930359]",CouleurCasquette,http://creativecommons.org/licenses/by/3.0/
17,STE-005.wav,metallic;metal;space;ship;prison,https://freesound.org/people/wearedow/sounds/338976,,wearedow,http://creativecommons.org/publicdomain/zero/1.0/
18,Gravel_Sand Walking 2.wav,footsteps;night;crickets;sand;concrete;foot-steps;step;foot;running;cement;field-recording;run;crunch;foley;gravel;steps;ambience;ambient;feet;walk;atmosphere;ambiance;footstep;insects;shoes;walking;summer,https://freesound.org/people/Cornwallis89/sounds/244591,,Cornwallis89,http://creativecommons.org/publicdomain/zero/1.0/
19,13. Crushing tin can.wav,tincan;rubbish;can;tin;crush;metallic;crushing;OWI,https://freesound.org/people/btherad2000/sounds/328024,,btherad2000,http://creativecommons.org/licenses/by/3.0/
20,Coyote -crickets &amp; dogs in a pine forest mid night .wav,coyote;ambience;night;forest;wolf;howling;pine;dog;ambiance;lebanon;nature;barking;cricket;mystic,https://freesound.org/people/Ramston/sounds/320543,"[37888, 707070]",Ramston,http://creativecommons.org/licenses/by/3.0/
21,Singapore Street Scape.wav,Public;Ambience;Traffic;Street;Asia;Singapore;Hour;Rush,https://freesound.org/people/iankath/sounds/220890,"[2976768, 3849673]",iankath,http://creativecommons.org/publicdomain/zero/1.0/
22,stream_small.wav,river;flowing;water;water-stream;nature;field-recording,https://freesound.org/people/martats/sounds/127839,"[1003520, 1899219]",martats,http://creativecommons.org/licenses/by/3.0/
23,05-Bakken_Distant-Ambience.wav,amusement;park;ambience,https://freesound.org/people/JorgenJak/sounds/159470,"[1068032, 2234299]",JorgenJak,http://creativecommons.org/licenses/by/3.0/
24,Car up over canal bridge.wav,bridge;canal;car;overhead;road,https://freesound.org/people/earthsounds/sounds/101390,,earthsounds,http://creativecommons.org/licenses/by/3.0/
25,chrrrckkkcc.wav,ambient;sound-design;eerie;old;spooky,https://freesound.org/people/Corsica_S/sounds/135559,"[4176384, 5112010]",Corsica_S,http://creativecommons.org/licenses/by/3.0/
26,Night Sounds in Orissa Village.wav,Orissa;Edirol;night;distant;India;ambient;R09HR;eerie;Chilika;cricket;sound,https://freesound.org/people/Calcuttan/sounds/186698,,Calcuttan,http://creativecommons.org/licenses/by/3.0/
27,tg_on windshield from inside car.wav,car;drops;inside;rain;raindrops,https://freesound.org/people/Tristan/sounds/18413,,Tristan,http://creativecommons.org/publicdomain/zero/1.0/
