file_name,QuestionText,answer,confidence
AmbianceBackyard_Quiet_bip.wav,Are there more than one bird squawking?,yes,yes
AmbianceBackyard_Quiet_bip.wav,Are there more than one bird squawking?,yes,yes
AmbianceBackyard_Quiet_bip.wav,Are there more than one bird squawking?,yes,yes
AmbianceBackyard_Quiet_bip.wav,Are there people having a conversation?,no,yes
AmbianceBackyard_Quiet_bip.wav,Are there people having a conversation?,no,yes
AmbianceBackyard_Quiet_bip.wav,Are there people having a conversation?,no,yes
AmbianceBackyard_Quiet_bip.wav,Are these animals outside?,no,maybe
AmbianceBackyard_Quiet_bip.wav,Are these animals outside?,yes,yes
AmbianceBackyard_Quiet_bip.wav,Are these animals outside?,yes,yes
AmbianceBackyard_Quiet_bip.wav,How many birds are squawking?,three,Maybe
AmbianceBackyard_Quiet_bip.wav,How many birds are squawking?,three,Maybe
AmbianceBackyard_Quiet_bip.wav,How many birds are squawking?,two,Maybe
AmbianceBackyard_Quiet_bip.wav,How many cars honk their horn?,zero,Yes
AmbianceBackyard_Quiet_bip.wav,How many cars honk their horn?,one,Yes
AmbianceBackyard_Quiet_bip.wav,How many cars honk their horn?,one,Yes
AmbianceBackyard_Quiet_bip.wav,Is there only one bird sqauwking?,no,yes
AmbianceBackyard_Quiet_bip.wav,Is there only one bird sqauwking?,no,yes
AmbianceBackyard_Quiet_bip.wav,Is there only one bird sqauwking?,no,yes
20110121_cranes.wind.wav,How many birds are making noise?,two,Maybe
20110121_cranes.wind.wav,How many birds are making noise?,two,Maybe
20110121_cranes.wind.wav,How many birds are making noise?,several,Yes
20110121_cranes.wind.wav,Is it a dog making the noise?,no,yes
20110121_cranes.wind.wav,Is it a dog making the noise?,no,yes
20110121_cranes.wind.wav,Is it a dog making the noise?,no,yes
20110121_cranes.wind.wav,Is one bird close and one bird far away?,yes,yes
20110121_cranes.wind.wav,Is one bird close and one bird far away?,yes,yes
20110121_cranes.wind.wav,Is one bird close and one bird far away?,yes,yes
20110121_cranes.wind.wav,Is there a person screaming?,no,yes
20110121_cranes.wind.wav,Is there a person screaming?,no,yes
20110121_cranes.wind.wav,Is there a person screaming?,no,yes
20110121_cranes.wind.wav,Is this outside?,yes,yes
20110121_cranes.wind.wav,Is this outside?,yes,yes
20110121_cranes.wind.wav,Is this outside?,yes,yes
20110121_cranes.wind.wav,What species of animal can be heard?,seagull,Yes
20110121_cranes.wind.wav,What species of animal can be heard?,bird,Yes
20110121_cranes.wind.wav,What species of animal can be heard?,bird,Yes
