file_name,QuestionText,answer
AmbianceBackyard_Quiet_bip.wav,How many birds are squawking?,THREE
AmbianceBackyard_Quiet_bip.wav,How many birds are squawking?,THREE
AmbianceBackyard_Quiet_bip.wav,How many birds are squawking?,TWO
AmbianceBackyard_Quiet_bip.wav,How many cars honk their horn?,ZERO
AmbianceBackyard_Quiet_bip.wav,How many cars honk their horn?,ONE
AmbianceBackyard_Quiet_bip.wav,How many cars honk their horn?,ONE
20110121_cranes.wind.wav,How many birds are making noise?,TWO
20110121_cranes.wind.wav,How many birds are making noise?,TWO
20110121_cranes.wind.wav,How many birds are making noise?,SEVERAL
20110121_cranes.wind.wav,What species of animal can be heard?,SEAGULL
20110121_cranes.wind.wav,What species of animal can be heard?,BIRD
20110121_cranes.wind.wav,What species of animal can be heard?,BIRD
EXT Steel works far.wav,What is being placed on the platform towards the end of the clip?,BOARD
EXT Steel works far.wav,What is being placed on the platform towards the end of the clip?,WOOD
EXT Steel works far.wav,What is being placed on the platform towards the end of the clip?,WOOD
EXT Steel works far.wav,What type of material is the dropped item made of?,WOOD
EXT Steel works far.wav,What type of material is the dropped item made of?,WOOD
EXT Steel works far.wav,What type of material is the dropped item made of?,WOOD
Walking in Circles around fountain.wav,what is causing the rasping sound?,PERSON
Walking in Circles around fountain.wav,what is causing the rasping sound?,WIND
Walking in Circles around fountain.wav,what is causing the rasping sound?,WIND
Walking in Circles around fountain.wav,What is running nearby?,RIVER
Walking in Circles around fountain.wav,What is running nearby?,WATER
Walking in Circles around fountain.wav,What is running nearby?,WIND
20070819.fjord.beach.00.wav,What is crashing against the beach?,WAVES
20070819.fjord.beach.00.wav,What is crashing against the beach?,WAVES
20070819.fjord.beach.00.wav,What is crashing against the beach?,WAVES
20070819.fjord.beach.00.wav,What is making the sound that can be heard in this clip?,WAVES
20070819.fjord.beach.00.wav,What is making the sound that can be heard in this clip?,RAIN
20070819.fjord.beach.00.wav,What is making the sound that can be heard in this clip?,WAVES
west ham bubbles.wav,What is heard briefly towards the end of the song?,PRAYER
west ham bubbles.wav,What is heard briefly towards the end of the song?,CLAPPING
west ham bubbles.wav,What is heard briefly towards the end of the song?,SINGING
west ham bubbles.wav,What mood is being portrayed from the mammals?,HAPPY
west ham bubbles.wav,What mood is being portrayed from the mammals?,EXCITEMENT
west ham bubbles.wav,What mood is being portrayed from the mammals?,HAPPY
sants_train.wav,How many different sounds can be heard?,THREE
sants_train.wav,How many different sounds can be heard?,TWO
sants_train.wav,How many different sounds can be heard?,FIVE
sants_train.wav,What is the noise coming from?,BIRDS
sants_train.wav,What is the noise coming from?,TRAIN
sants_train.wav,What is the noise coming from?,FACTORY
Rainstorm.wav,What is causing the blowing sound?,WIND
Rainstorm.wav,What is causing the blowing sound?,RAIN
Rainstorm.wav,What is causing the blowing sound?,WIND
Rainstorm.wav,What natural element can be heard besides waves?,TREES
Rainstorm.wav,What natural element can be heard besides waves?,WIND
Rainstorm.wav,What natural element can be heard besides waves?,RAIN
31 hn_door4.wav,How many separate creaking noises were made?,FIVE
31 hn_door4.wav,How many separate creaking noises were made?,THREE
31 hn_door4.wav,How many separate creaking noises were made?,FIVE
31 hn_door4.wav,What is making the creaking noise?,DOOR
31 hn_door4.wav,What is making the creaking noise?,DOOR
31 hn_door4.wav,What is making the creaking noise?,WINDOW
jf Ingenioius Experiment.wav,What is the name of the object being used to complete the action that is heard?,GLASS
jf Ingenioius Experiment.wav,What is the name of the object being used to complete the action that is heard?,GLASS
jf Ingenioius Experiment.wav,What is the name of the object being used to complete the action that is heard?,GLASS
jf Ingenioius Experiment.wav,Which part of the room is being affected by the activity taking place?,FLOOR
jf Ingenioius Experiment.wav,Which part of the room is being affected by the activity taking place?,FLOOR
jf Ingenioius Experiment.wav,Which part of the room is being affected by the activity taking place?,FLOOR
SamyeLing_Drain121102.wav,What is falling?,WATER
SamyeLing_Drain121102.wav,What is falling?,WATER
SamyeLing_Drain121102.wav,What is falling?,WATER
SamyeLing_Drain121102.wav,What is making the most noise?,WATER
SamyeLing_Drain121102.wav,What is making the most noise?,WATER
SamyeLing_Drain121102.wav,What is making the most noise?,WATER
DC Metro - Interior 1.wav,What is making that constant sound?,AEROPLANE
DC Metro - Interior 1.wav,What is making that constant sound?,MATCH
DC Metro - Interior 1.wav,What is making that constant sound?,TRAIN
DC Metro - Interior 1.wav,What is moving?,CAR
DC Metro - Interior 1.wav,What is moving?,TRAIN
DC Metro - Interior 1.wav,What is moving?,AIRPLANE
Geese1 - (Apollonia&#39;s sPA) 18.44 05.10.wav,What color are the animals heard here?,UNKNOWN
Geese1 - (Apollonia&#39;s sPA) 18.44 05.10.wav,What color are the animals heard here?,WHITE
Geese1 - (Apollonia&#39;s sPA) 18.44 05.10.wav,What color are the animals heard here?,UNKNOWN
Geese1 - (Apollonia&#39;s sPA) 18.44 05.10.wav,What kind of animal is this?,CHICKEN
Geese1 - (Apollonia&#39;s sPA) 18.44 05.10.wav,What kind of animal is this?,DUCK
Geese1 - (Apollonia&#39;s sPA) 18.44 05.10.wav,What kind of animal is this?,ROOSTER
Teddington weir.wav,The lengthy high-pitched noise in the background is known as a what?,SQUAWKING
Teddington weir.wav,The lengthy high-pitched noise in the background is known as a what?,SIREN
Teddington weir.wav,The lengthy high-pitched noise in the background is known as a what?,SIX
Teddington weir.wav,What animal is barking?,DOG
Teddington weir.wav,What animal is barking?,HEN
Teddington weir.wav,What animal is barking?,GEESE
Train Horn.wav,What sound can be heard in the first half of the clip?,TRAIN
Train Horn.wav,What sound can be heard in the first half of the clip?,HORN
Train Horn.wav,What sound can be heard in the first half of the clip?,HORN
Train Horn.wav,What type of train is this ?,FAST
Train Horn.wav,What type of train is this ?,FAST
Train Horn.wav,What type of train is this ?,FREIGHT
kettle-watergong4.wav,How many times is the object struck?,NINETEEN
kettle-watergong4.wav,How many times is the object struck?,ELEVEN
kettle-watergong4.wav,How many times is the object struck?,TWENTY
kettle-watergong4.wav,What is the object being struck?,DRUM
kettle-watergong4.wav,What is the object being struck?,DRUM
kettle-watergong4.wav,What is the object being struck?,METAL
open and close umbrella.wav,How many times is the repetitive noise made?,FOUR
open and close umbrella.wav,How many times is the repetitive noise made?,THREE
open and close umbrella.wav,How many times is the repetitive noise made?,SIX
open and close umbrella.wav,What object is making the sounds?,STAPLER
open and close umbrella.wav,What object is making the sounds?,STAPLER
open and close umbrella.wav,What object is making the sounds?,STAPLER
SR001F.wav,how many people are talking?,THREE
SR001F.wav,how many people are talking?,TWO
SR001F.wav,how many people are talking?,THREE
SR001F.wav,Who is talking to each other?,PEOPLE
SR001F.wav,Who is talking to each other?,PEOPLE
SR001F.wav,Who is talking to each other?,MEN
SYnth_NoisesAV.wav,How many objects are making noise?,THREE
SYnth_NoisesAV.wav,How many objects are making noise?,ONE
SYnth_NoisesAV.wav,How many objects are making noise?,ONE
SYnth_NoisesAV.wav,What is making the noise?,SYNTHESIZER
SYnth_NoisesAV.wav,What is making the noise?,SYNTHESIZER
SYnth_NoisesAV.wav,What is making the noise?,SYNTHESIZER
San Francisco Traffic at Powell And O&#39;Farrell.wav,How many people are chatting in the background?,THREE
San Francisco Traffic at Powell And O&#39;Farrell.wav,How many people are chatting in the background?,TWO
San Francisco Traffic at Powell And O&#39;Farrell.wav,How many people are chatting in the background?,TWO
San Francisco Traffic at Powell And O&#39;Farrell.wav,What type of vehicle is driving by?,MOTORCYCLE
San Francisco Traffic at Powell And O&#39;Farrell.wav,What type of vehicle is driving by?,MOTORCYCLE
San Francisco Traffic at Powell And O&#39;Farrell.wav,What type of vehicle is driving by?,CAR
April_2004_garden_birds01.wav,What can be faintly heard thoroughly besides the chirping?,TRAFFIC
April_2004_garden_birds01.wav,What can be faintly heard thoroughly besides the chirping?,BIRD
April_2004_garden_birds01.wav,What can be faintly heard thoroughly besides the chirping?,MOTORCYCLE
April_2004_garden_birds01.wav,What is the bird doing?,CHIRPING
April_2004_garden_birds01.wav,What is the bird doing?,CHIRPING
April_2004_garden_birds01.wav,What is the bird doing?,CHIRPING
bamboo_wind_chimes_1.wav,What class of instrument is this?,DRUM
bamboo_wind_chimes_1.wav,What class of instrument is this?,DRUM
bamboo_wind_chimes_1.wav,What class of instrument is this?,MUSIC
bamboo_wind_chimes_1.wav,Which instance of the instrument being struck is the softest?,GUITAR
bamboo_wind_chimes_1.wav,Which instance of the instrument being struck is the softest?,STICK
bamboo_wind_chimes_1.wav,Which instance of the instrument being struck is the softest?,BELL
Cat and Rain.wav,What animal is making noise?,CAT
Cat and Rain.wav,What animal is making noise?,CAT
Cat and Rain.wav,What animal is making noise?,CAT
Cat and Rain.wav,What kind of animal is nearby?,CAT
Cat and Rain.wav,What kind of animal is nearby?,CAT
Cat and Rain.wav,What kind of animal is nearby?,CAT
md4trk7.wav,how many times does the sound stop and start again?,ZERO
md4trk7.wav,how many times does the sound stop and start again?,NONE
md4trk7.wav,how many times does the sound stop and start again?,ZERO
md4trk7.wav,What is causing the squealing noise?,MACHINE
md4trk7.wav,What is causing the squealing noise?,BELT
md4trk7.wav,What is causing the squealing noise?,MOTOR
by a busy road background.wav,"If these vehicles are traveling at a high speed, what are they likely moving on?",FREEWAY
by a busy road background.wav,"If these vehicles are traveling at a high speed, what are they likely moving on?",HIGHWAY
by a busy road background.wav,"If these vehicles are traveling at a high speed, what are they likely moving on?",RACETRACK
by a busy road background.wav,What kind of machinery is making the noise?,ENGINE
by a busy road background.wav,What kind of machinery is making the noise?,PLANE
by a busy road background.wav,What kind of machinery is making the noise?,TRACTOR
DH12_139_CentStat11_out.wav,What is the gender of the recorded voice?,FEMALE
DH12_139_CentStat11_out.wav,What is the gender of the recorded voice?,FEMALE
DH12_139_CentStat11_out.wav,What is the gender of the recorded voice?,ANNOUNCER
DH12_139_CentStat11_out.wav,Who is the announcement for?,PEOPLE
DH12_139_CentStat11_out.wav,Who is the announcement for?,PEOPLE
DH12_139_CentStat11_out.wav,Who is the announcement for?,PEOPLE
stream5.wav,what is flowing?,WATER
stream5.wav,what is flowing?,WATER
stream5.wav,what is flowing?,WATER
stream5.wav,What is the water doing?,FLOWING
stream5.wav,What is the water doing?,POURING
stream5.wav,What is the water doing?,FLOWING
Steady Rain.wav,How is the weather?,RAINING
Steady Rain.wav,How is the weather?,RAINY
Steady Rain.wav,How is the weather?,RAINY
Steady Rain.wav,What is the rain hitting outside?,BUCKET
Steady Rain.wav,What is the rain hitting outside?,CAR
Steady Rain.wav,What is the rain hitting outside?,ROOF
resonant_sewer.wav,What is it that is falling into a puddle?,RAIN
resonant_sewer.wav,What is it that is falling into a puddle?,WATER
resonant_sewer.wav,What is it that is falling into a puddle?,WATER
resonant_sewer.wav,What is likely producing the sound of the flowing substance?,WATER
resonant_sewer.wav,What is likely producing the sound of the flowing substance?,FAUCET
resonant_sewer.wav,What is likely producing the sound of the flowing substance?,WATER
La cuina del institut.wav,How many different voices can be heard?,TWO
La cuina del institut.wav,How many different voices can be heard?,TWO
La cuina del institut.wav,How many different voices can be heard?,ONE
La cuina del institut.wav,What's the person doing?,MOVING
La cuina del institut.wav,What's the person doing?,TALKING
La cuina del institut.wav,What's the person doing?,TALKING
d0_drips_03.wav,What is clanking?,TIN
d0_drips_03.wav,What is clanking?,PENCIL
d0_drips_03.wav,What is clanking?,WATER
d0_drips_03.wav,What is dripping?,LIQUID
d0_drips_03.wav,What is dripping?,WATER
d0_drips_03.wav,What is dripping?,WATER
Newark airport outside.wav,How many times are rollers heard?,NONE
Newark airport outside.wav,How many times are rollers heard?,FIVE
Newark airport outside.wav,How many times are rollers heard?,NINE
Newark airport outside.wav,What are the people doing?,TALKING
Newark airport outside.wav,What are the people doing?,LISTENING
Newark airport outside.wav,What are the people doing?,TALKING
heavy industrial door opens 110419_01.wav,What is the object doing?,VIBRATING
heavy industrial door opens 110419_01.wav,What is the object doing?,HUMMING
heavy industrial door opens 110419_01.wav,What is the object doing?,BUS
heavy industrial door opens 110419_01.wav,What kind of machine is making that noise?,HEATER
heavy industrial door opens 110419_01.wav,What kind of machine is making that noise?,INDUSTRIAL
heavy industrial door opens 110419_01.wav,What kind of machine is making that noise?,PRINTING
"Gibraltar Mountain (apes, birds).wav",How many voices are heard?,THREE
"Gibraltar Mountain (apes, birds).wav",How many voices are heard?,THREE
"Gibraltar Mountain (apes, birds).wav",How many voices are heard?,FOUR
"Gibraltar Mountain (apes, birds).wav",what kind of birds are making noise?,CROW
"Gibraltar Mountain (apes, birds).wav",what kind of birds are making noise?,CHIRPING
"Gibraltar Mountain (apes, birds).wav",what kind of birds are making noise?,DUCKS
in_cafe_4.wav,What are the people doing?,TALKING
in_cafe_4.wav,What are the people doing?,TALKING
in_cafe_4.wav,What are the people doing?,EATING
in_cafe_4.wav,What is making the sharp noises in the background?,UTENSILS
in_cafe_4.wav,What is making the sharp noises in the background?,DISHES
in_cafe_4.wav,What is making the sharp noises in the background?,WHISPERING
turtledove sounds.wav,What animal is making this sound?,DOVE
turtledove sounds.wav,What animal is making this sound?,BIRDS
turtledove sounds.wav,What animal is making this sound?,PIGEON
turtledove sounds.wav,What is the owl doing?,SINGING
turtledove sounds.wav,What is the owl doing?,SINGING
turtledove sounds.wav,What is the owl doing?,SINGING
belladonna.wav,what are the chimes doing?,CLANGING
belladonna.wav,what are the chimes doing?,CHIMING
belladonna.wav,what are the chimes doing?,RINGING
belladonna.wav,Where would one hear this sound?,CHURCH
belladonna.wav,Where would one hear this sound?,CHURCH
belladonna.wav,Where would one hear this sound?,HOUSE
forest04.wav,What sort of animal is making the noises?,BIRDS
forest04.wav,What sort of animal is making the noises?,BIRDS
forest04.wav,What sort of animal is making the noises?,BIRDS
forest04.wav,Where are these animals located?,ZOO
forest04.wav,Where are these animals located?,OUTSIDE
forest04.wav,Where are these animals located?,TREES
footstep on wood foley.wav,How many steps did the person step on?,FIVE
footstep on wood foley.wav,How many steps did the person step on?,TWENTYSEVEN
footstep on wood foley.wav,How many steps did the person step on?,TWENTYSIX
footstep on wood foley.wav,What is the person walking up?,STAIRS
footstep on wood foley.wav,What is the person walking up?,STAIRS
footstep on wood foley.wav,What is the person walking up?,STAIRS
inside a japanese bus.wav,How many ticking noises occur?,FIVE
inside a japanese bus.wav,How many ticking noises occur?,FIVE
inside a japanese bus.wav,How many ticking noises occur?,SIX
inside a japanese bus.wav,What is the person doing with the plastic?,CRINKLING
inside a japanese bus.wav,What is the person doing with the plastic?,WRAPPING
inside a japanese bus.wav,What is the person doing with the plastic?,OPENING
Waterfalls_00217.wav,What is flowing?,WATER
